бязь,"агъ (ди, ар)"
гармонь,чIигъан
гармонист,"чIигъанчи (-, бур)"
глухарь,чIирин пеI
грязный (неприличный),чIирхIеф
головастик,чIур
город,"шагьур (ди, ар)"
городской,шагьурдинф
группа,шакъа
глист,шар
гладкий,шергвеф
грабли,Iуй
дядя,"адад (адада, ададар)"
дядин,ададанф
дракон,"адждагьа (аджагьайи, аджагьабур)"
делать,"акьас (аркьай, акьуна, акье, акьуб, маркьа)"
доставать (кого-что-л из чего-л),"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
достать (кого-что-л из чего-л),"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
добавить,"ахъирхIас (ахъирхIай, ахъирхIуна, ахъирхI, ахъирхIуб, ахъимирхIа)"
добавлять,"ахъирхIас (ахъирхIай, ахъирхIуна, ахъирхI, ахъирхIуб, ахъимирхIа)"
добавление,ахъирхIуб
добавленный,ахъирхIуф
дурак,"багур (а, ар)"
дурень,"багур (а, ар)"
дурной,"багур (а, ар)"
дорогой,багьаф
дискуссия,бехIс
докучать,бизар акьас
докучить,бизар акьас
долг,"бурдж (уни, ар)"
даргинцы,буркьунар
далеко,варха
дальность,вархавел
далекий,вархайинф
дальний,вархайинф
далеко,вархал
далекий,вархаф
дальний,вархаф
долина,верхI
домовой,гъвадиккен
дождаться,"гъузанас (гъурзанди, гъузуна, гъузен, гъузуб, магъурзана)"
доблесть,"гьунар (и, ар)"
доблестный,"гьунарлу (йи, бур)"
достаток,гьуркIуб
достаточно,гьуркIуна
двор,"гIан (а, ар)"
донос,гIерза
донести (жалобу),"гIерза акьас (- акрьай, - акьуна, - акье, - акьуб, - маркьа)"
доносить (жалобу),"гIерза акьас (- акрьай, - акьуна, - акье, - акьуб, - маркьа)"
доносчик,гIерзачи
дичь,"гIурч (а, ар)"
довод,"далил (и, ар)"
дубина,"дар (дара, дарар)"
давно,дахи
друг,"дустт (ура, ар)"
дружба,дусттвел
доктор,"духттур (и, ар)"
девяносто,ежчIур
доска (молотильная),ерйер
девять,ерчIуд
девятый,ерчIудпеф
давать,"ес (ирцIанди, йина, тин, еб, майирцIана)"
данный,еф
до рассвета,зав курастти
дрожать,зурзас
добро,"иджвел (ди, -)"
доброта,"иджвел (ди, -)"
дар,"иджвел (ди, ар)"
доброе утро!,идже гъузурив!
добрый,иджеф
добротно,иджи
договоренность,икьрар
договариваться,икьрар акьас
договариться,икьрар акьас
длина,ирхевел
длинный,ирхеф
данные,ирцIан ягIарвелар
дрожь,"ифул (и, ар)"
десять,йицIуд
десятый,йицIудпеф
дело,"кар (ди, ар)"
даже,кехIей
доставать (чем-л),"киркьвас (киркьвай, киркьуна, киркьв, киркьуб, кимиркьва)"
достать (чем-л),"киркьвас (киркьвай, киркьуна, киркьв, киркьуб, кимиркьва)"
доля,кквал
делить,кквал акьас
деление,кквал акьуб
дым,"кум (а, -)"
дыня,къавум
двадцать,къад
двацдатый,къадпеф
драгоценный камень,къаш
должность,къуллугъ
доска,кьул
долька,кьурц
дрожать,кIакIас
дурак,кIамай
дно,"кIен (кIена, -)"
догадаться,кIилиъ архьас
догадываться,кIилиъ архьас
дерево,"кIур (ани, ар)"
древо,"кIур (ани, ар)"
деревянный,кIуранинф
дрова,"кIурар (и, -)"
достоинство,лайикь
достойный,"лайикьлу (йи, бур)"
дуло,луьл
досуг,"маджал (и, ар)"
дорогой,массанф
дуб,мехъуьн кIур
дитя,мудур
дровни,мурхI (ар)
дивный,муьхIталф
доля,пай
делить,пай акьас
деньги,"пул (у, ар)"
дверь,"ракк (а, ар)"
дверной,раккаринф
дорога,"рекъ (уь, ер)"
дорожный,рекъуьнф
добираться,"рукьас (рукьай, рукьуна, рукь, рукьуб, марукьа)"
добраться,"рукьас (рукьай, рукьуна, рукь, рукьуб, марукьа)"
дойти,"рукьас (рукьай, рукьуна, рукь, рукьуб, марукьа)"
достигать,"рукьас (рукьай, рукьуна, рукь, рукьуб, марукьа)"
достигнуть,"рукьас (рукьай, рукьуна, рукь, рукьуб, марукьа)"
доходить,"рукьас (рукьай, рукьуна, рукь, рукьуб, марукьа)"
девушка,"руш (руша, рушар / шибер)"
дочь,"руш (руша, рушар / шибер)"
дух,"руьхI (ди, ар)"
душа,"руьхI (ди, ар)"
до свидания!,сагъди илгурай!
другой,саеф
другой,сасраф
дубить,табагъ акьас
давить,"тIучIанас (тIурчIанди, тIучIуна, тIучIан, тIучIуб, матIурчIана)"
двигаться,"тIушанас (тIуршай, тIушуна, тIушан, тIушуб, матIуршана)"
движение,тIушуб
дождь,"угъал (и, ар)"
дождевой,угъалинф
дешевый,уджузф
доить,узас
дойка,узуб
драться,укъас
драка,"укъуб (а, ар)"
дыра,улуд
дырка,улуд
дунуть,уф ес
дуть,уф ес
держать,"фацанас (фарцанди, фацуна, фацен, фацуб, фамарцана)"
